title,product_img_url,in_stock,alcoholPercentage,price
SUB Compact Affligem Starter Pack,https://www.beerwulf.com/globalassets/the-sub-compact--4-affligem-2l-kegs---uk-sku-collection_skucollection_25151_02.png,True,,£ 149
Heineken Silver - 8L BLADE Keg,https://www.beerwulf.com/globalassets/heineken-silver---8l-blade-keg_beer_24084_0.png,True,4.0,£ 34.99
BLADE Tiger Starter Pack + Glasses,https://www.beerwulf.com/globalassets/-blade--tiger---8l--glasses_skucollection_24315_02.png,True,,£ 519
Strongbow Original Cider - 2L SUB Keg,https://www.beerwulf.com/globalassets/strongbow-original-cider---sub-keg_beer_22287_0.png,True,4.5,£ 9.49
La Chouffe Blonde D'ardenne - 2L SUB Keg,https://www.beerwulf.com/globalassets/catalog/beerwulf/beers/torps/with-label/torp_2lkeg_la_chouffe_blond.png,True,8.0,£ 18.99
The SUB Compact Party Starter Pack,https://www.beerwulf.com/globalassets/sub--8-birra-moretti-lautentica_skucollection_23730_0.png,True,,£ 175
SOL - 8L BLADE Keg,https://www.beerwulf.com/globalassets/sol---8l-blade-keg_beer_23832_02.png,True,4.2,£ 36.99
BLADE Amstel Starter Pack,https://www.beerwulf.com/globalassets/blade-amstel-starter-pack-_skucollection_24299_04.png,True,,£ 499
Zipfer Urtyp - 8L BLADE Keg,https://www.beerwulf.com/globalassets/zipfer-urtyp---blade-keg_beer_15790_0.png,True,5.4,£ 37.99
The SUB Compact Mixed Starter Pack,https://www.beerwulf.com/globalassets/the-sub-compact--mixed-2l-kegs---uk-sku-collection_skucollection_25159_02.png,True,,£ 149
Lager & Pilsner beer case,https://www.beerwulf.com/globalassets/lager--pilsner-pack_pack_24785_0.png,True,,£ 40.99
The SUB Compact Heineken Starter Pack,https://www.beerwulf.com/globalassets/the-sub-compact--4-heineken-2l-kegs---uk-sku-collection_skucollection_25043_0.png,True,,£ 149
THE SUB COMPACT BIRRA MORETTI STARTER PACK,https://www.beerwulf.com/globalassets/the-sub-compact--4-bm-baffo-doro-2l-kegs---uk-sku-collection_skucollection_25155_0.png,True,,£ 149
Grade B: Refurbished BLADE Heineken Silver Bundle,https://www.beerwulf.com/globalassets/blade-refurbished--new-dome---b-grade-hnk-silver_skucollection_25304_0.png,True,,£ 375
La Chouffe Blonde D'ardenne - 2L SUB Keg,https://www.beerwulf.com/globalassets/catalog/beerwulf/beers/torps/with-label/torp_2lkeg_la_chouffe_blond.png,True,8.0,£ 18.99
Heineken - 2L SUB Keg,https://www.beerwulf.com/globalassets/catalog/beerwulf/beers/torps/full-sleeves-without-label/heineken_bw_clear.png,True,5.0,£ 9.99
Gösser Zwickl - 2L SUB Keg,https://www.beerwulf.com/globalassets/gosser-zwickl-2l-keg_1_2.png,True,5.2,£ 10.99
Zipfer Urtyp - 2L SUB Keg,https://www.beerwulf.com/globalassets/zipfer-urtyp-2l-keg_1_1.png,True,5.4,£ 10.99
St. Feuillien Blond - 2L SUB Keg,https://www.beerwulf.com/globalassets/st.-feuillien-blond-torp---2l-keg_1_1.png,True,7.0,£ 17.99
Affligem Blond - 5L Draught Keg,https://www.beerwulf.com/globalassets/affligem-blond-5l-keg_1_02.png,True,6.7,£ 26.99
Gösser Radler - 2L SUB Keg,https://www.beerwulf.com/globalassets/gosser-radler---2l-keg_1_1.png,True,2.0,£ 8.99
