full_name,age,photoURL,player_team,games_played
AndrewBrayshaw,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002232.png?i10c=img.resize(scale_height:0.6),Fremantle,24.0
CamRayner,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002235.png?i10c=img.resize(scale_height:0.6),Brisbane Lions,24.0
AdamCerra,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002239.png?i10c=img.resize(scale_height:0.6),Carlton,18.0
JaidynStephenson,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002240.png?i10c=img.resize(scale_height:0.6),North Melbourne,16.0
CharlieConstable,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002242.png?i10c=img.resize(scale_height:0.6),Gold Coast Suns,2.0
NoahBalta,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002245.png?i10c=img.resize(scale_height:0.6),Richmond,18.0
SamHayes,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002248.png?i10c=img.resize(scale_height:0.6),Port Adelaide,7.0
BrentDaniels,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002251.png?i10c=img.resize(scale_height:0.6),GWS Giants,0.0
KaneFarrell,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002253.png?i10c=img.resize(scale_height:0.6),Port Adelaide,16.0
PaddyDow,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002256.png?i10c=img.resize(scale_height:0.6),Carlton,4.0
LochieO'Brien,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002259.png?i10c=img.resize(scale_height:0.6),Carlton,19.0
HunterClark,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002264.png?i10c=img.resize(scale_height:0.6),St Kilda,8.0
LukeDavies-Uniacke,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002267.png?i10c=img.resize(scale_height:0.6),North Melbourne,21.0
CharlieSpargo,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002282.png?i10c=img.resize(scale_height:0.6),Melbourne,24.0
JamesBell,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002291.png?i10c=img.resize(scale_height:0.6),Sydney Swans,6.0
JarrodBrander,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002300.png?i10c=img.resize(scale_height:0.6),GWS Giants,5.0
ZacBailey,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002312.png?i10c=img.resize(scale_height:0.6),Brisbane Lions,24.0
JackPayne,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002347.png?i10c=img.resize(scale_height:0.6),Brisbane Lions,12.0
MitchCrowden,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002353.png?i10c=img.resize(scale_height:0.6),Fremantle,2.0
StefanGiro,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002354.png?i10c=img.resize(scale_height:0.6),West Coast Eagles,1.0
HughDixon,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002372.png?i10c=img.resize(scale_height:0.6),West Coast Eagles,10.0
BrandonStarcevich,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002401.png?i10c=img.resize(scale_height:0.6),Brisbane Lions,24.0
BenMiller,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002403.png?i10c=img.resize(scale_height:0.6),Richmond,11.0
AaronNaughton,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002404.png?i10c=img.resize(scale_height:0.6),Western Bulldogs,22.0
SydneyStack,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002583.png?i10c=img.resize(scale_height:0.6),Richmond,2.0
Callum L.Brown,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002770.png?i10c=img.resize(scale_height:0.6),Collingwood,6.0
JordanBoyd,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002795.png?i10c=img.resize(scale_height:0.6),Carlton,7.0
JackBytel,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002922.png?i10c=img.resize(scale_height:0.6),St Kilda,0.0
JoshHoney,21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002938.png?i10c=img.resize(scale_height:0.6),Carlton,5.0
PaulCurtis,19,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1002947.png?i10c=img.resize(scale_height:0.6),North Melbourne,15.0
PatrickLipinski,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1003130.png?i10c=img.resize(scale_height:0.6),Collingwood,25.0
ConnorWest,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1003192.png?i10c=img.resize(scale_height:0.6),West Coast Eagles,14.0
HaydenMcLean,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1003203.png?i10c=img.resize(scale_height:0.6),Sydney Swans,9.0
DarraghJoyce,25,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1003520.png?i10c=img.resize(scale_height:0.6),St Kilda,3.0
JoelSmith,26,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1003546.png?i10c=img.resize(scale_height:0.6),Melbourne,7.0
BrandonZerk-Thatcher,24,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004034.png?i10c=img.resize(scale_height:0.6),Essendon,12.0
JackLukosius,22,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004095.png?i10c=img.resize(scale_height:0.6),Gold Coast Suns,13.0
WillGould,21,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004113.png?i10c=img.resize(scale_height:0.6),Sydney Swans,0.0
ZacLangdon,26,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004286.png?i10c=img.resize(scale_height:0.6),West Coast Eagles,8.0
BraydenAinsworth,23,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1004356.png?i10c=img.resize(scale_height:0.6),West Coast Eagles,1.0
