Manufacturer,Product_name,Model_number,Technology,Certification_body,Website,Certification_period,Current_certification_status,SCOP values
Model Number: ERSQ011AAV1-EKHBRD011AAV1,Daikin Altherma,ERSQ011AAV1-EKHBRD011AAV1,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,02/02/2010 - Present,Certified,"[('35°C', '2.69'), ('36°C', '2.67'), ('37°C', '2.65'), ('38°C', '2.64'), ('39°C', '2.62'), ('40°C', '2.60'), ('41°C', '2.59'), ('42°C', '2.57'), ('43°C', '2.55'), ('44°C', '2.53'), ('45°C', '2.52'), ('46°C', '2.52'), ('47°C', '2.53'), ('48°C', '2.53'), ('49°C', '2.54'), ('50°C', '2.55'), ('51°C', '2.55'), ('52°C', '2.56'), ('53°C', '2.56'), ('54°C', '2.57'), ('55°C', '2.58'), ('56°C', '2.58'), ('57°C', '2.57'), ('58°C', '2.57'), ('59°C', '2.57'), ('60°C', '2.57'), ('61°C', '2.57'), ('62°C', '2.57'), ('63°C', '2.57'), ('64°C', '2.57'), ('65°C', '2.57')]"
Model Number: ERSQ014AAV1-EKHBRD014AAV1,Daikin Altherma,ERSQ014AAV1-EKHBRD014AAV1,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,02/02/2010 - Present,Certified,"[('35°C', '2.80'), ('36°C', '2.78'), ('37°C', '2.77'), ('38°C', '2.75'), ('39°C', '2.73'), ('40°C', '2.72'), ('41°C', '2.70'), ('42°C', '2.68'), ('43°C', '2.67'), ('44°C', '2.65'), ('45°C', '2.63'), ('46°C', '2.63'), ('47°C', '2.63'), ('48°C', '2.63'), ('49°C', '2.63'), ('50°C', '2.63'), ('51°C', '2.63'), ('52°C', '2.63'), ('53°C', '2.63'), ('54°C', '2.63'), ('55°C', '2.62'), ('56°C', '2.63'), ('57°C', '2.63'), ('58°C', '2.64'), ('59°C', '2.64'), ('60°C', '2.65'), ('61°C', '2.65'), ('62°C', '2.66'), ('63°C', '2.66'), ('64°C', '2.67'), ('65°C', '2.67')]"
Model Number: ERSQ016AAV1-EKHBRD016AAV1,Daikin Altherma,ERSQ016AAV1-EKHBRD016AAV1,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,02/02/2010 - Present,Certified,"[('35°C', '2.87'), ('36°C', '2.85'), ('37°C', '2.83'), ('38°C', '2.81'), ('39°C', '2.79'), ('40°C', '2.77'), ('41°C', '2.76'), ('42°C', '2.74'), ('43°C', '2.72'), ('44°C', '2.70'), ('45°C', '2.68'), ('46°C', '2.68'), ('47°C', '2.67'), ('48°C', '2.67'), ('49°C', '2.66'), ('50°C', '2.65'), ('51°C', '2.65'), ('52°C', '2.64'), ('53°C', '2.64'), ('54°C', '2.63'), ('55°C', '2.63'), ('56°C', '2.64'), ('57°C', '2.64'), ('58°C', '2.65'), ('59°C', '2.66'), ('60°C', '2.67'), ('61°C', '2.68'), ('62°C', '2.69'), ('63°C', '2.70'), ('64°C', '2.70'), ('65°C', '2.71')]"
Model Number: ERSQ011AAY1-EKHBRD011AAY1,Daikin Altherma,ERSQ011AAY1-EKHBRD011AAY1,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,02/02/2010 - Present,Certified,"[('35°C', '2.69'), ('36°C', '2.67'), ('37°C', '2.65'), ('38°C', '2.64'), ('39°C', '2.62'), ('40°C', '2.60'), ('41°C', '2.59'), ('42°C', '2.57'), ('43°C', '2.55'), ('44°C', '2.53'), ('45°C', '2.52'), ('46°C', '2.52'), ('47°C', '2.53'), ('48°C', '2.53'), ('49°C', '2.54'), ('50°C', '2.55'), ('51°C', '2.55'), ('52°C', '2.56'), ('53°C', '2.56'), ('54°C', '2.57'), ('55°C', '2.58'), ('56°C', '2.58'), ('57°C', '2.57'), ('58°C', '2.57'), ('59°C', '2.57'), ('60°C', '2.57'), ('61°C', '2.57'), ('62°C', '2.57'), ('63°C', '2.57'), ('64°C', '2.57'), ('65°C', '2.57')]"
Model Number: ERSQ014AAY1-EKHBRD014AAY1,Daikin Altherma,ERSQ014AAY1-EKHBRD014AAY1,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,02/02/2010 - Present,Certified,"[('35°C', '2.79'), ('36°C', '2.77'), ('37°C', '2.76'), ('38°C', '2.74'), ('39°C', '2.72'), ('40°C', '2.71'), ('41°C', '2.69'), ('42°C', '2.67'), ('43°C', '2.66'), ('44°C', '2.64'), ('45°C', '2.63'), ('46°C', '2.62'), ('47°C', '2.62'), ('48°C', '2.62'), ('49°C', '2.62'), ('50°C', '2.62'), ('51°C', '2.62'), ('52°C', '2.62'), ('53°C', '2.62'), ('54°C', '2.62'), ('55°C', '2.62'), ('56°C', '2.63'), ('57°C', '2.64'), ('58°C', '2.65'), ('59°C', '2.65'), ('60°C', '2.66'), ('61°C', '2.67'), ('62°C', '2.68'), ('63°C', '2.69'), ('64°C', '2.70'), ('65°C', '2.71')]"
Model Number: ERSQ016AAY1-EKHBRD016AAY1,Daikin Altherma,ERSQ016AAY1-EKHBRD016AAY1,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,02/02/2010 - Present,Certified,"[('35°C', '2.86'), ('36°C', '2.84'), ('37°C', '2.83'), ('38°C', '2.81'), ('39°C', '2.79'), ('40°C', '2.77'), ('41°C', '2.75'), ('42°C', '2.73'), ('43°C', '2.72'), ('44°C', '2.70'), ('45°C', '2.68'), ('46°C', '2.67'), ('47°C', '2.67'), ('48°C', '2.66'), ('49°C', '2.65'), ('50°C', '2.65'), ('51°C', '2.64'), ('52°C', '2.63'), ('53°C', '2.63'), ('54°C', '2.62'), ('55°C', '2.61'), ('56°C', '2.62'), ('57°C', '2.64'), ('58°C', '2.65'), ('59°C', '2.66'), ('60°C', '2.67'), ('61°C', '2.68'), ('62°C', '2.69'), ('63°C', '2.70'), ('64°C', '2.71'), ('65°C', '2.72')]"
Model Number: Vitocal 300-A,Vitocal 300-A,Vitocal 300-A,Air Source Heat Pump,BSI,http://www.viessmann.co.uk/,10/08/2010 - Present,Certified,"[('35°C', '0.00'), ('36°C', '0.00'), ('37°C', '0.00'), ('38°C', '0.00'), ('39°C', '0.00'), ('40°C', '0.00'), ('41°C', '0.00'), ('42°C', '0.00'), ('43°C', '0.00'), ('44°C', '0.00'), ('45°C', '0.00'), ('46°C', '0.00'), ('47°C', '0.00'), ('48°C', '0.00'), ('49°C', '0.00'), ('50°C', '0.00'), ('51°C', '0.00'), ('52°C', '0.00'), ('53°C', '0.00'), ('54°C', '0.00'), ('55°C', '0.00'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: LA 25 TU,LA 25 TU,LA 25 TU,Air Source Heat Pump,BRE Global,http://www.dimplex.co.uk/,01/04/2010 - Present,Certified,"[('35°C', '4.39'), ('36°C', '4.29'), ('37°C', '4.20'), ('38°C', '4.10'), ('39°C', '4.00'), ('40°C', '3.90'), ('41°C', '3.81'), ('42°C', '3.71'), ('43°C', '3.61'), ('44°C', '3.51'), ('45°C', '3.41'), ('46°C', '3.39'), ('47°C', '3.36'), ('48°C', '3.33'), ('49°C', '3.30'), ('50°C', '3.27'), ('51°C', '3.24'), ('52°C', '3.22'), ('53°C', '3.19'), ('54°C', '3.16'), ('55°C', '3.13'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: ERSQ011AAV1 - EKHBRD011ABV1,Daikin Altherma,ERSQ011AAV1 - EKHBRD011ABV1,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,12/11/2010 - Present,Certified,"[('35°C', '2.69'), ('36°C', '2.67'), ('37°C', '2.65'), ('38°C', '2.64'), ('39°C', '2.62'), ('40°C', '2.60'), ('41°C', '2.59'), ('42°C', '2.57'), ('43°C', '2.55'), ('44°C', '2.53'), ('45°C', '2.52'), ('46°C', '2.52'), ('47°C', '2.53'), ('48°C', '2.53'), ('49°C', '2.54'), ('50°C', '2.55'), ('51°C', '2.55'), ('52°C', '2.56'), ('53°C', '2.56'), ('54°C', '2.57'), ('55°C', '2.58'), ('56°C', '2.58'), ('57°C', '2.57'), ('58°C', '2.57'), ('59°C', '2.57'), ('60°C', '2.57'), ('61°C', '2.57'), ('62°C', '2.57'), ('63°C', '2.57'), ('64°C', '2.57'), ('65°C', '2.57')]"
Model Number: ERSQ014AAV1 - EKHBRD014ABV1,Daikin Altherma,ERSQ014AAV1 - EKHBRD014ABV1,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,12/11/2010 - Present,Certified,"[('35°C', '2.80'), ('36°C', '2.78'), ('37°C', '2.77'), ('38°C', '2.75'), ('39°C', '2.73'), ('40°C', '2.72'), ('41°C', '2.70'), ('42°C', '2.68'), ('43°C', '2.67'), ('44°C', '2.65'), ('45°C', '2.63'), ('46°C', '2.63'), ('47°C', '2.63'), ('48°C', '2.63'), ('49°C', '2.63'), ('50°C', '2.63'), ('51°C', '2.63'), ('52°C', '2.63'), ('53°C', '2.63'), ('54°C', '2.63'), ('55°C', '2.62'), ('56°C', '2.63'), ('57°C', '2.63'), ('58°C', '2.64'), ('59°C', '2.64'), ('60°C', '2.65'), ('61°C', '2.65'), ('62°C', '2.66'), ('63°C', '2.66'), ('64°C', '2.67'), ('65°C', '2.67')]"
