Manufacturer,Product_name,Model_number,Technology,Certification_body,Website,Certification_period,Current_certification_status,SCOP values
Model Number: ERSQ016AAV1 - EKHBRD016ABV1,Daikin Altherma,ERSQ016AAV1 - EKHBRD016ABV1,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,12/11/2010 - Present,Certified,"[('35°C', '2.87'), ('36°C', '2.85'), ('37°C', '2.83'), ('38°C', '2.81'), ('39°C', '2.79'), ('40°C', '2.77'), ('41°C', '2.76'), ('42°C', '2.74'), ('43°C', '2.72'), ('44°C', '2.70'), ('45°C', '2.68'), ('46°C', '2.68'), ('47°C', '2.67'), ('48°C', '2.67'), ('49°C', '2.66'), ('50°C', '2.65'), ('51°C', '2.65'), ('52°C', '2.64'), ('53°C', '2.64'), ('54°C', '2.63'), ('55°C', '2.63'), ('56°C', '2.64'), ('57°C', '2.64'), ('58°C', '2.65'), ('59°C', '2.66'), ('60°C', '2.67'), ('61°C', '2.68'), ('62°C', '2.69'), ('63°C', '2.70'), ('64°C', '2.70'), ('65°C', '2.71')]"
Model Number: ERSQ011AAY1 - EKHBRD011ABY1,Daikin Altherma,ERSQ011AAY1 - EKHBRD011ABY1,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,12/11/2010 - Present,Certified,"[('35°C', '2.69'), ('36°C', '2.67'), ('37°C', '2.65'), ('38°C', '2.64'), ('39°C', '2.62'), ('40°C', '2.60'), ('41°C', '2.59'), ('42°C', '2.57'), ('43°C', '2.55'), ('44°C', '2.53'), ('45°C', '2.52'), ('46°C', '2.52'), ('47°C', '2.53'), ('48°C', '2.53'), ('49°C', '2.54'), ('50°C', '2.55'), ('51°C', '2.55'), ('52°C', '2.56'), ('53°C', '2.56'), ('54°C', '2.57'), ('55°C', '2.58'), ('56°C', '2.58'), ('57°C', '2.57'), ('58°C', '2.57'), ('59°C', '2.57'), ('60°C', '2.57'), ('61°C', '2.57'), ('62°C', '2.57'), ('63°C', '2.57'), ('64°C', '2.57'), ('65°C', '2.57')]"
Model Number: ERSQ014AAY1 - EKHBRD014ABY1,Daikin Altherma,ERSQ014AAY1 - EKHBRD014ABY1,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,12/11/2010 - Present,Certified,"[('35°C', '2.79'), ('36°C', '2.77'), ('37°C', '2.76'), ('38°C', '2.74'), ('39°C', '2.72'), ('40°C', '2.71'), ('41°C', '2.69'), ('42°C', '2.67'), ('43°C', '2.66'), ('44°C', '2.64'), ('45°C', '2.63'), ('46°C', '2.62'), ('47°C', '2.62'), ('48°C', '2.62'), ('49°C', '2.62'), ('50°C', '2.62'), ('51°C', '2.62'), ('52°C', '2.62'), ('53°C', '2.62'), ('54°C', '2.62'), ('55°C', '2.62'), ('56°C', '2.63'), ('57°C', '2.64'), ('58°C', '2.65'), ('59°C', '2.65'), ('60°C', '2.66'), ('61°C', '2.67'), ('62°C', '2.68'), ('63°C', '2.69'), ('64°C', '2.70'), ('65°C', '2.71')]"
Model Number: ERSQ016AAY1 - EKHBRD016ABY1,Daikin Altherma,ERSQ016AAY1 - EKHBRD016ABY1,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,12/11/2010 - Present,Certified,"[('35°C', '2.86'), ('36°C', '2.84'), ('37°C', '2.83'), ('38°C', '2.81'), ('39°C', '2.79'), ('40°C', '2.77'), ('41°C', '2.75'), ('42°C', '2.73'), ('43°C', '2.72'), ('44°C', '2.70'), ('45°C', '2.68'), ('46°C', '2.67'), ('47°C', '2.67'), ('48°C', '2.66'), ('49°C', '2.65'), ('50°C', '2.65'), ('51°C', '2.64'), ('52°C', '2.63'), ('53°C', '2.63'), ('54°C', '2.62'), ('55°C', '2.61'), ('56°C', '2.62'), ('57°C', '2.64'), ('58°C', '2.65'), ('59°C', '2.66'), ('60°C', '2.67'), ('61°C', '2.68'), ('62°C', '2.69'), ('63°C', '2.70'), ('64°C', '2.71'), ('65°C', '2.72')]"
Model Number: Ecodan PUHZ-HW140YHA2,Ecodan,Ecodan PUHZ-HW140YHA2,Air Source Heat Pump,BRE Global,http://ecodan.co.uk/,01/06/2011 - Present,Certified,"[('35°C', '3.87'), ('36°C', '3.83'), ('37°C', '3.79'), ('38°C', '3.75'), ('39°C', '3.71'), ('40°C', '3.68'), ('41°C', '3.64'), ('42°C', '3.60'), ('43°C', '3.56'), ('44°C', '3.52'), ('45°C', '3.48'), ('46°C', '3.44'), ('47°C', '3.41'), ('48°C', '3.37'), ('49°C', '3.34'), ('50°C', '3.30'), ('51°C', '3.26'), ('52°C', '3.23'), ('53°C', '3.19'), ('54°C', '3.16'), ('55°C', '3.12'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: Ecodan PUHZ-HW140YHA2-BS,Ecodan,Ecodan PUHZ-HW140YHA2-BS,Air Source Heat Pump,BRE Global,http://ecodan.co.uk/,01/06/2011 - Present,Certified,"[('35°C', '3.87'), ('36°C', '3.83'), ('37°C', '3.79'), ('38°C', '3.75'), ('39°C', '3.71'), ('40°C', '3.68'), ('41°C', '3.64'), ('42°C', '3.60'), ('43°C', '3.56'), ('44°C', '3.52'), ('45°C', '3.48'), ('46°C', '3.44'), ('47°C', '3.41'), ('48°C', '3.37'), ('49°C', '3.34'), ('50°C', '3.30'), ('51°C', '3.26'), ('52°C', '3.23'), ('53°C', '3.19'), ('54°C', '3.16'), ('55°C', '3.12'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: CAHV-P500YA-HPB,Ecodan,CAHV-P500YA-HPB,Air Source Heat Pump,BRE Global,http://ecodan.co.uk/,26/08/2011 - Present,Certified,"[('35°C', '3.46'), ('36°C', '3.45'), ('37°C', '3.43'), ('38°C', '3.41'), ('39°C', '3.39'), ('40°C', '3.37'), ('41°C', '3.36'), ('42°C', '3.34'), ('43°C', '3.32'), ('44°C', '3.30'), ('45°C', '3.28'), ('46°C', '3.27'), ('47°C', '3.25'), ('48°C', '3.23'), ('49°C', '3.22'), ('50°C', '3.20'), ('51°C', '3.18'), ('52°C', '3.16'), ('53°C', '3.15'), ('54°C', '3.13'), ('55°C', '3.11'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: RHUE-3AVHN1,Yutaki-M,RHUE-3AVHN1,Air Source Heat Pump,BRE Global,http://www.hitachi-eu.com/,28/10/2011 - Present,Certified,"[('35°C', '3.62'), ('36°C', '3.58'), ('37°C', '3.54'), ('38°C', '3.51'), ('39°C', '3.47'), ('40°C', '3.43'), ('41°C', '3.39'), ('42°C', '3.35'), ('43°C', '3.31'), ('44°C', '3.27'), ('45°C', '3.23'), ('46°C', '3.20'), ('47°C', '3.16'), ('48°C', '3.12'), ('49°C', '3.08'), ('50°C', '3.05'), ('51°C', '3.01'), ('52°C', '2.97'), ('53°C', '2.93'), ('54°C', '2.89'), ('55°C', '2.86'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: NIBE F2300-14,NIBE F2300-14,NIBE F2300-14,Air Source Heat Pump,BRE Global,http://www.nibe.co.uk/,"29/02/2012 - 02/02/2022, 04/02/2022 - Present",Certified,"[('35°C', '3.79'), ('36°C', '3.72'), ('37°C', '3.66'), ('38°C', '3.59'), ('39°C', '3.52'), ('40°C', '3.45'), ('41°C', '3.38'), ('42°C', '3.31'), ('43°C', '3.24'), ('44°C', '3.17'), ('45°C', '3.11'), ('46°C', '3.11'), ('47°C', '3.12'), ('48°C', '3.12'), ('49°C', '3.13'), ('50°C', '3.13'), ('51°C', '3.14'), ('52°C', '3.14'), ('53°C', '3.15'), ('54°C', '3.15'), ('55°C', '3.16'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: NIBE F2300-20,NIBE F2300-20,NIBE F2300-20,Air Source Heat Pump,BRE Global,http://www.nibe.co.uk/,"29/02/2012 - 02/02/2022, 04/02/2022 - Present",Certified,"[('35°C', '3.62'), ('36°C', '3.55'), ('37°C', '3.49'), ('38°C', '3.43'), ('39°C', '3.36'), ('40°C', '3.30'), ('41°C', '3.24'), ('42°C', '3.17'), ('43°C', '3.11'), ('44°C', '3.04'), ('45°C', '2.98'), ('46°C', '2.98'), ('47°C', '2.99'), ('48°C', '2.99'), ('49°C', '2.99'), ('50°C', '2.99'), ('51°C', '2.99'), ('52°C', '2.99'), ('53°C', '3.00'), ('54°C', '3.00'), ('55°C', '3.00'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: RHUE-4AVHN-HM,Yutaki-M,RHUE-4AVHN-HM,Air Source Heat Pump,BRE Global,http://www.hitachi-eu.com/,29/06/2012 - Present,Certified,"[('35°C', '3.56'), ('36°C', '3.52'), ('37°C', '3.49'), ('38°C', '3.46'), ('39°C', '3.42'), ('40°C', '3.39'), ('41°C', '3.35'), ('42°C', '3.32'), ('43°C', '3.29'), ('44°C', '3.25'), ('45°C', '3.22'), ('46°C', '3.18'), ('47°C', '3.14'), ('48°C', '3.10'), ('49°C', '3.06'), ('50°C', '3.02'), ('51°C', '2.99'), ('52°C', '2.95'), ('53°C', '2.91'), ('54°C', '2.87'), ('55°C', '2.83'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: RHUE-5AHN-HM,Yutaki-M,RHUE-5AHN-HM,Air Source Heat Pump,BRE Global,http://www.hitachi-eu.com/,29/06/2012 - Present,Certified,"[('35°C', '3.58'), ('36°C', '3.54'), ('37°C', '3.50'), ('38°C', '3.46'), ('39°C', '3.42'), ('40°C', '3.38'), ('41°C', '3.35'), ('42°C', '3.31'), ('43°C', '3.27'), ('44°C', '3.23'), ('45°C', '3.19'), ('46°C', '3.14'), ('47°C', '3.10'), ('48°C', '3.05'), ('49°C', '3.00'), ('50°C', '2.96'), ('51°C', '2.91'), ('52°C', '2.86'), ('53°C', '2.82'), ('54°C', '2.77'), ('55°C', '2.72'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: RHUE-5AVHN-HM,Yutaki-M,RHUE-5AVHN-HM,Air Source Heat Pump,BRE Global,http://www.hitachi-eu.com/,29/06/2012 - Present,Certified,"[('35°C', '3.58'), ('36°C', '3.54'), ('37°C', '3.50'), ('38°C', '3.46'), ('39°C', '3.42'), ('40°C', '3.38'), ('41°C', '3.35'), ('42°C', '3.31'), ('43°C', '3.27'), ('44°C', '3.23'), ('45°C', '3.19'), ('46°C', '3.14'), ('47°C', '3.10'), ('48°C', '3.05'), ('49°C', '3.00'), ('50°C', '2.96'), ('51°C', '2.91'), ('52°C', '2.86'), ('53°C', '2.82'), ('54°C', '2.77'), ('55°C', '2.72'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: RHUE-6AHN-HM,Yutaki-M,RHUE-6AHN-HM,Air Source Heat Pump,BRE Global,http://www.hitachi-eu.com/,29/06/2012 - Present,Certified,"[('35°C', '3.74'), ('36°C', '3.68'), ('37°C', '3.63'), ('38°C', '3.58'), ('39°C', '3.53'), ('40°C', '3.47'), ('41°C', '3.42'), ('42°C', '3.37'), ('43°C', '3.31'), ('44°C', '3.26'), ('45°C', '3.21'), ('46°C', '3.15'), ('47°C', '3.09'), ('48°C', '3.02'), ('49°C', '2.96'), ('50°C', '2.90'), ('51°C', '2.84'), ('52°C', '2.78'), ('53°C', '2.72'), ('54°C', '2.65'), ('55°C', '2.59'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: RHUE-6AVHN-HM,Yutaki-M,RHUE-6AVHN-HM,Air Source Heat Pump,BRE Global,http://www.hitachi-eu.com/,29/06/2012 - Present,Certified,"[('35°C', '3.74'), ('36°C', '3.68'), ('37°C', '3.63'), ('38°C', '3.58'), ('39°C', '3.53'), ('40°C', '3.47'), ('41°C', '3.42'), ('42°C', '3.37'), ('43°C', '3.31'), ('44°C', '3.26'), ('45°C', '3.21'), ('46°C', '3.15'), ('47°C', '3.09'), ('48°C', '3.02'), ('49°C', '2.96'), ('50°C', '2.90'), ('51°C', '2.84'), ('52°C', '2.78'), ('53°C', '2.72'), ('54°C', '2.65'), ('55°C', '2.59'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: Daikin Altherma LT ERLQ004CAV3 – EHBH04CA3V,Daikin Altherma LT ERLQ004CAV3 – EHBH04CA3V,Daikin Altherma LT ERLQ004CAV3 – EHBH04CA3V,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,24/08/2012 - Present,Certified,"[('35°C', '4.40'), ('36°C', '4.33'), ('37°C', '4.26'), ('38°C', '4.19'), ('39°C', '4.12'), ('40°C', '4.06'), ('41°C', '3.99'), ('42°C', '3.92'), ('43°C', '3.85'), ('44°C', '3.78'), ('45°C', '3.71'), ('46°C', '3.65'), ('47°C', '3.59'), ('48°C', '3.53'), ('49°C', '3.48'), ('50°C', '3.42'), ('51°C', '3.36'), ('52°C', '3.30'), ('53°C', '3.25'), ('54°C', '3.19'), ('55°C', '3.13'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: Daikin Altherma LT ERLQ006CAV3 – EHBH08CA3V,Daikin Altherma LT ERLQ006CAV3 – EHBH08CA3V,Daikin Altherma LT ERLQ006CAV3 – EHBH08CA3V,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,24/08/2012 - Present,Certified,"[('35°C', '4.23'), ('36°C', '4.16'), ('37°C', '4.09'), ('38°C', '4.03'), ('39°C', '3.96'), ('40°C', '3.89'), ('41°C', '3.83'), ('42°C', '3.76'), ('43°C', '3.70'), ('44°C', '3.63'), ('45°C', '3.56'), ('46°C', '3.52'), ('47°C', '3.48'), ('48°C', '3.44'), ('49°C', '3.40'), ('50°C', '3.36'), ('51°C', '3.32'), ('52°C', '3.27'), ('53°C', '3.23'), ('54°C', '3.19'), ('55°C', '3.15'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: Daikin Altherma LT ERLQ008CAV3 – EHBH08CA3V,Daikin Altherma LT ERLQ008CAV3 – EHBH08CA3V,Daikin Altherma LT ERLQ008CAV3 – EHBH08CA3V,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,24/08/2012 - Present,Certified,"[('35°C', '4.17'), ('36°C', '4.12'), ('37°C', '4.07'), ('38°C', '4.02'), ('39°C', '3.97'), ('40°C', '3.91'), ('41°C', '3.86'), ('42°C', '3.81'), ('43°C', '3.76'), ('44°C', '3.71'), ('45°C', '3.66'), ('46°C', '3.61'), ('47°C', '3.56'), ('48°C', '3.51'), ('49°C', '3.46'), ('50°C', '3.40'), ('51°C', '3.35'), ('52°C', '3.30'), ('53°C', '3.25'), ('54°C', '3.20'), ('55°C', '3.15'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: Daikin Altherma LT ERLQ006CAV3 – EHBH08CA9W,Daikin Altherma LT ERLQ006CAV3 – EHBH08CA9W,Daikin Altherma LT ERLQ006CAV3 – EHBH08CA9W,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,24/08/2012 - Present,Certified,"[('35°C', '4.23'), ('36°C', '4.16'), ('37°C', '4.09'), ('38°C', '4.03'), ('39°C', '3.96'), ('40°C', '3.89'), ('41°C', '3.83'), ('42°C', '3.76'), ('43°C', '3.70'), ('44°C', '3.63'), ('45°C', '3.56'), ('46°C', '3.52'), ('47°C', '3.48'), ('48°C', '3.44'), ('49°C', '3.40'), ('50°C', '3.36'), ('51°C', '3.32'), ('52°C', '3.27'), ('53°C', '3.23'), ('54°C', '3.19'), ('55°C', '3.15'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: Daikin Altherma LT ERLQ008CAV3 – EHBH08CA9W,Daikin Altherma LT ERLQ008CAV3 – EHBH08CA9W,Daikin Altherma LT ERLQ008CAV3 – EHBH08CA9W,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,24/08/2012 - Present,Certified,"[('35°C', '4.17'), ('36°C', '4.12'), ('37°C', '4.07'), ('38°C', '4.02'), ('39°C', '3.97'), ('40°C', '3.91'), ('41°C', '3.86'), ('42°C', '3.81'), ('43°C', '3.76'), ('44°C', '3.71'), ('45°C', '3.66'), ('46°C', '3.61'), ('47°C', '3.56'), ('48°C', '3.51'), ('49°C', '3.46'), ('50°C', '3.40'), ('51°C', '3.35'), ('52°C', '3.30'), ('53°C', '3.25'), ('54°C', '3.20'), ('55°C', '3.15'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: Daikin Altherma LT ERLQ004CAV3 – EHBX04CA3V,Daikin Altherma LT ERLQ004CAV3 – EHBX04CA3V,Daikin Altherma LT ERLQ004CAV3 – EHBX04CA3V,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,24/08/2012 - Present,Certified,"[('35°C', '4.40'), ('36°C', '4.33'), ('37°C', '4.26'), ('38°C', '4.19'), ('39°C', '4.12'), ('40°C', '4.06'), ('41°C', '3.99'), ('42°C', '3.92'), ('43°C', '3.85'), ('44°C', '3.78'), ('45°C', '3.71'), ('46°C', '3.65'), ('47°C', '3.59'), ('48°C', '3.53'), ('49°C', '3.48'), ('50°C', '3.42'), ('51°C', '3.36'), ('52°C', '3.30'), ('53°C', '3.25'), ('54°C', '3.19'), ('55°C', '3.13'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: Daikin Altherma LT ERLQ006CAV3 – EHBX08CA3V,Daikin Altherma LT ERLQ006CAV3 – EHBX08CA3V,Daikin Altherma LT ERLQ006CAV3 – EHBX08CA3V,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,24/08/2012 - Present,Certified,"[('35°C', '4.23'), ('36°C', '4.16'), ('37°C', '4.09'), ('38°C', '4.03'), ('39°C', '3.96'), ('40°C', '3.89'), ('41°C', '3.83'), ('42°C', '3.76'), ('43°C', '3.70'), ('44°C', '3.63'), ('45°C', '3.56'), ('46°C', '3.52'), ('47°C', '3.48'), ('48°C', '3.44'), ('49°C', '3.40'), ('50°C', '3.36'), ('51°C', '3.32'), ('52°C', '3.27'), ('53°C', '3.23'), ('54°C', '3.19'), ('55°C', '3.15'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: Daikin Altherma LT ERLQ008CAV3 – EHBX08CA3V,Daikin Altherma LT ERLQ008CAV3 – EHBX08CA3V,Daikin Altherma LT ERLQ008CAV3 – EHBX08CA3V,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,24/08/2012 - Present,Certified,"[('35°C', '4.17'), ('36°C', '4.12'), ('37°C', '4.07'), ('38°C', '4.02'), ('39°C', '3.97'), ('40°C', '3.91'), ('41°C', '3.86'), ('42°C', '3.81'), ('43°C', '3.76'), ('44°C', '3.71'), ('45°C', '3.66'), ('46°C', '3.61'), ('47°C', '3.56'), ('48°C', '3.51'), ('49°C', '3.46'), ('50°C', '3.41'), ('51°C', '3.35'), ('52°C', '3.30'), ('53°C', '3.25'), ('54°C', '3.20'), ('55°C', '3.15'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
Model Number: Daikin Altherma LT ERLQ006CAV3 – EHBX08CA9W,Daikin Altherma LT ERLQ006CAV3 – EHBX08CA9W,Daikin Altherma LT ERLQ006CAV3 – EHBX08CA9W,Air Source Heat Pump,BRE Global,http://www.daikin.co.uk/,24/08/2012 - Present,Certified,"[('35°C', '4.23'), ('36°C', '4.16'), ('37°C', '4.09'), ('38°C', '4.03'), ('39°C', '3.96'), ('40°C', '3.89'), ('41°C', '3.83'), ('42°C', '3.76'), ('43°C', '3.70'), ('44°C', '3.63'), ('45°C', '3.56'), ('46°C', '3.52'), ('47°C', '3.48'), ('48°C', '3.44'), ('49°C', '3.40'), ('50°C', '3.36'), ('51°C', '3.32'), ('52°C', '3.27'), ('53°C', '3.23'), ('54°C', '3.19'), ('55°C', '3.15'), ('56°C', '0.00'), ('57°C', '0.00'), ('58°C', '0.00'), ('59°C', '0.00'), ('60°C', '0.00'), ('61°C', '0.00'), ('62°C', '0.00'), ('63°C', '0.00'), ('64°C', '0.00'), ('65°C', '0.00')]"
